SimulationTime	VehicleID	x	y	speed	angle
1002.00	PKW5345	878.85	1070.04	13.89	87.77
1002.00	PKW4871	2365.42	2681.69	7.80	273.04
1002.00	PKW3991	3065.75	717.95	13.89	104.88
1002.00	PKW5511	2605.95	2526.84	13.89	129.77
1002.00	PKW5545	2352.13	930.63	11.51	108.37
1002.00	PKW4765	1545.37	726.37	13.89	40.38
1002.00	PKW5561	351.54	1046.33	13.89	87.77
1002.00	LKW242	2590.56	531.86	5.20	83.74
1002.00	LKW243	2055.97	1721.21	0.00	110.92
1002.00	PKW5112	1490.93	1078.76	4.07	338.35
1002.00	PKW3477	1437.82	3106.98	13.89	308.46
1002.00	PKW4486	1386.81	3147.50	13.89	308.46
1002.00	PKW4890	1859.85	1833.52	0.00	215.00
1002.00	PKW4277	1626.44	1412.69	13.89	207.58
1002.00	PKW5156	2163.83	1013.43	13.89	285.56
1002.00	routeFlow_bus34Hc.1	2560.48	1175.53	13.34	172.24
1002.00	PKW5411	1979.82	1516.42	13.89	215.09
1002.00	PKW4061	1075.92	2079.81	13.89	345.61
1002.00	PKW3998	1591.20	2985.14	13.89	308.46
1002.00	PKW4482	1521.17	1222.13	0.00	209.89
1002.00	PKW5274	1648.25	574.83	7.80	95.73
1002.00	PKW5148	1707.05	570.91	13.89	108.52
1002.00	PKW5046	3056.94	2078.25	13.89	114.83
1002.00	PKW5334	2746.40	2419.95	13.00	132.31
1002.00	PKW4396	1346.14	1309.86	13.89	305.98
1002.00	PKW5019	1772.04	1080.83	2.60	288.66
1002.00	PKW3252	3778.36	1936.96	13.89	93.65
1002.00	PKW5210	1225.84	1083.54	13.89	87.77
1002.00	PKW5077	2837.79	2298.63	0.00	146.60
1002.00	PKW4803	3030.66	1984.71	13.89	93.65
1002.00	PKW5097	1958.08	1956.51	8.95	230.78
1002.00	LKW225	2853.29	2230.65	9.10	11.57
1002.00	PKW5524	2788.93	2127.09	10.24	199.52
1002.00	PKW4338	2375.45	923.08	0.00	107.95
1002.00	PKW3341	3073.36	1981.98	13.89	93.65
1002.00	LKW235	1334.41	3189.13	13.89	308.46
1002.00	PKW5492	2781.52	2106.40	0.00	200.07
1002.00	PKW5407	2906.61	2231.95	0.00	332.60
1002.00	PKW4477	2966.62	1988.80	13.89	93.65
1002.00	PKW4077	1064.19	2125.54	13.89	345.61
1002.00	PKW5384	1451.71	673.70	0.00	129.52
1002.00	PKW4731	2983.05	739.92	13.89	104.88
1002.00	PKW5362	837.33	1065.22	13.89	87.77
1002.00	LKW251	2326.96	2679.56	5.56	270.32
1002.00	PKW5315	2704.06	813.29	13.89	103.81
1002.00	PKW4032	1968.14	2641.85	3.84	25.11
1002.00	PKW4679	1999.56	1016.29	0.00	93.42
1002.00	PKW4805	2814.92	2123.94	0.00	19.92
1002.00	PKW5237	1932.23	2696.05	9.30	124.52
1002.00	PKW5402	1137.76	1715.10	13.89	148.51
1002.00	PKW3644	1971.30	2648.58	0.00	25.11
1002.00	PKW4336	2861.97	2257.06	13.89	11.57
1002.00	PKW5433	1746.00	1849.03	13.89	108.41
1002.00	PKW5190	2767.77	2079.88	0.00	203.15
1002.00	PKW5365	1863.62	2331.68	5.20	190.63
1002.00	LKW230	2011.45	1981.87	13.89	46.83
1002.00	PKW4888	2315.45	2679.39	3.66	268.46
1002.00	PKW4617	1842.84	1266.93	13.89	26.96
1002.00	PKW4291	2805.33	2339.94	0.12	146.37
1002.00	PKW5040	2554.29	1243.22	12.72	172.71
1002.00	PKW4368	2834.86	2372.65	13.89	332.95
1002.00	PKW5380	1447.66	668.75	0.00	129.52
1002.00	PKW4966	1917.82	1990.26	13.89	324.84
1002.00	PKW5169	2086.67	468.80	5.20	265.07
1002.00	LKW253	1706.73	1049.71	1.30	106.50
1003.00	PKW4984	2014.54	1015.50	0.00	92.16
1003.00	PKW5468	2519.47	590.58	0.00	291.56
1003.00	PKW5316	1900.35	1375.41	0.00	29.79
1003.00	PKW5082	1160.69	1622.74	13.89	349.58
1003.00	PKW4999	1868.17	2338.52	5.20	190.66
1003.00	PKW5128	1434.03	1091.64	13.89	87.77
1003.00	PKW5447	2794.26	2947.27	13.89	178.68
1003.00	PKW5522	2784.10	2113.44	0.00	199.53
1003.00	PKW4529	1890.48	1355.09	0.00	39.34
1003.00	PKW5192	2224.89	997.89	8.81	288.30
1003.00	PKW5498	1379.00	1889.47	0.00	4.50
1003.00	PKW4801	1313.95	1096.57	13.89	267.77
1003.00	PKW5427	2371.33	2768.85	13.89	146.79
1003.00	PKW5552	1976.93	471.15	13.89	289.94
1003.00	PKW5253	1752.39	1085.73	7.80	277.75
1003.00	PKW5345	892.73	1070.58	13.89	87.77
1003.00	PKW4871	2355.00	2682.31	10.40	273.40
1003.00	PKW3991	3079.17	714.38	13.89	104.88
1003.00	PKW5511	2616.61	2517.96	13.89	129.77
1003.00	PKW5545	2359.77	931.52	7.01	107.94
1003.00	PKW4765	1554.69	736.67	13.89	42.70
1003.00	PKW5561	365.42	1046.87	13.89	87.77
1003.00	LKW242	2597.23	532.80	6.50	81.94
1003.00	LKW243	2055.97	1721.21	0.00	110.92
1003.00	PKW5112	1490.93	1078.76	0.00	338.35
1003.00	PKW3477	1426.95	3115.62	13.89	308.46
1003.00	PKW4486	1375.93	3156.14	13.89	308.46
1003.00	PKW4890	1857.92	1831.83	2.60	222.02
1003.00	PKW4277	1619.99	1400.39	13.89	207.66
1003.00	PKW5156	2150.46	1017.15	13.89	285.56
1003.00	routeFlow_bus34Hc.1	2562.00	1162.34	13.36	173.57
1003.00	PKW5411	1971.89	1504.99	13.89	214.66
1003.00	PKW4061	1072.47	2093.26	13.89	345.61
1003.00	PKW3998	1580.32	2993.78	13.89	308.46
1003.00	PKW4482	1521.17	1222.13	0.00	209.89
1003.00	PKW5274	1658.50	572.67	10.40	108.49
1003.00	PKW5148	1720.23	566.45	13.89	108.68
1003.00	PKW5046	3069.63	2072.37	13.89	114.83
1003.00	PKW5334	2756.67	2410.60	13.89	132.31
1003.00	PKW4396	1334.89	1318.02	13.89	305.98
1003.00	PKW5019	1767.40	1082.49	5.20	289.66
1003.00	PKW3252	3792.22	1936.07	13.89	93.65
1003.00	PKW5210	1239.71	1084.08	13.89	87.77
1003.00	PKW5077	2837.79	2298.63	0.00	146.60
1003.00	PKW4803	3044.52	1983.82	13.89	93.65
1003.00	PKW5097	1950.63	1951.60	8.95	240.11
1003.00	LKW225	2855.38	2240.84	10.40	11.57
1003.00	PKW5524	2787.02	2121.68	5.74	199.52
1003.00	PKW4338	2375.45	923.08	0.00	107.95
1003.00	PKW3341	3087.22	1981.10	13.89	93.65
1003.00	LKW235	1323.54	3197.77	13.89	308.46
1003.00	PKW5492	2781.52	2106.40	0.00	200.07
1003.00	PKW5407	2906.61	2231.95	0.00	332.60
1003.00	PKW4477	2980.48	1987.91	13.89	93.65
1003.00	PKW4077	1060.74	2138.99	13.89	345.61
1003.00	PKW5384	1451.71	673.70	0.00	129.52
1003.00	PKW4731	2996.48	736.35	13.89	104.88
1003.00	PKW5362	851.21	1065.76	13.89	87.77
1003.00	LKW251	2322.90	2679.58	4.06	270.31
1003.00	PKW5315	2717.55	809.97	13.89	103.81
1003.00	PKW4032	1968.14	2641.85	0.00	25.11
1003.00	PKW4679	1999.56	1016.29	0.00	93.42
1003.00	PKW4805	2814.92	2123.94	0.00	19.92
1003.00	PKW5237	1936.18	2693.33	4.80	124.52
1003.00	PKW5402	1139.78	1701.30	13.89	172.66
1003.00	PKW3644	1971.30	2648.58	0.00	25.11
1003.00	PKW4336	2865.77	2265.76	9.90	22.78
1003.00	PKW5433	1758.71	1843.71	13.89	120.48
1003.00	PKW5190	2767.77	2079.88	0.00	203.15
1003.00	PKW5365	1862.55	2323.89	7.80	186.87
1003.00	LKW230	2021.57	1991.38	13.89	46.83
1003.00	PKW4888	2313.74	2679.34	1.72	268.46
1003.00	PKW4617	1849.13	1279.30	13.89	26.96
1003.00	PKW4291	2805.33	2339.94	0.00	146.37
1003.00	PKW5040	2555.96	1230.18	13.11	172.71
1003.00	PKW4368	2826.64	2383.82	13.89	321.94
1003.00	PKW5380	1447.66	668.75	0.00	129.52
1003.00	PKW4966	1909.83	2001.61	13.89	324.84
1003.00	PKW5169	2078.96	468.15	7.80	265.18
1003.00	LKW253	1709.24	1048.97	2.60	106.50
1004.00	PKW4984	2014.54	1015.50	0.00	92.16
1004.00	PKW5468	2519.47	590.58	0.00	291.56
1004.00	PKW5316	1901.64	1377.67	2.60	29.76
1004.00	PKW5082	1156.42	1635.90	13.89	334.26
1004.00	PKW4999	1866.73	2330.91	7.80	190.64
1004.00	PKW5128	1446.35	1092.12	12.33	87.77
1004.00	PKW5447	2794.58	2933.38	13.89	178.68
1004.00	PKW5522	2784.10	2113.44	0.00	199.53
1004.00	PKW4529	1890.48	1355.09	0.00	39.34
1004.00	PKW5192	2214.51	1001.23	10.91	287.81
1004.00	PKW5498	1379.00	1889.47	0.00	4.50
1004.00	PKW4801	1300.07	1096.03	13.89	267.77
1004.00	PKW5427	2378.93	2757.23	13.89	146.79
1004.00	PKW5552	1964.34	476.74	13.89	295.33
1004.00	PKW5253	1741.89	1085.92	10.40	270.31
1004.00	PKW5345	906.61	1071.12	13.89	87.77
1004.00	PKW4871	2349.09	2682.57	5.90	272.37
1004.00	PKW3991	3092.60	710.82	13.89	104.88
1004.00	PKW5511	2627.28	2509.08	13.89	129.77
1004.00	PKW5545	2366.67	929.28	7.25	107.94
1004.00	PKW4765	1564.11	746.88	13.89	42.70
1004.00	PKW5561	379.30	1047.41	13.89	87.77
1004.00	LKW242	2605.03	531.02	7.80	104.19
1004.00	LKW243	2055.97	1721.21	0.00	110.92
1004.00	PKW5112	1490.93	1078.76	0.00	338.35
1004.00	PKW3477	1416.08	3124.26	13.89	308.46
1004.00	PKW4486	1365.06	3164.78	13.89	308.46
1004.00	PKW4890	1852.97	1830.60	5.20	256.92
1004.00	PKW4277	1613.55	1388.08	13.89	207.66
1004.00	PKW5156	2137.10	1020.87	13.89	285.56
1004.00	routeFlow_bus34Hc.1	2564.46	1148.61	13.79	169.12
1004.00	PKW5411	1963.97	1493.54	13.89	214.66
1004.00	PKW4061	1069.02	2106.71	13.89	345.61
1004.00	PKW3998	1569.45	3002.42	13.89	308.46
1004.00	PKW4482	1521.17	1222.13	0.00	209.89
1004.00	PKW5274	1671.28	570.42	13.00	89.28
1004.00	PKW5148	1733.22	561.52	13.89	113.34
1004.00	PKW5046	3082.31	2066.50	13.89	114.83
1004.00	PKW5334	2765.45	2402.60	11.87	132.31
1004.00	PKW4396	1326.07	1325.84	11.57	315.15
1004.00	PKW5019	1759.81	1084.44	7.80	283.97
1004.00	PKW3252	3806.09	1935.19	13.89	93.65
1004.00	PKW5210	1253.59	1084.62	13.89	87.77
1004.00	PKW5077	2837.79	2298.63	0.00	146.60
1004.00	PKW4803	3058.38	1982.94	13.89	93.65
1004.00	PKW5097	1943.19	1954.38	8.95	312.46
1004.00	LKW225	2857.12	2249.37	8.70	11.57
1004.00	PKW5524	2786.60	2120.51	1.24	199.52
1004.00	PKW4338	2375.45	923.08	0.00	107.95
1004.00	PKW3341	3101.08	1980.21	13.89	93.65
1004.00	LKW235	1312.66	3206.40	13.89	308.46
1004.00	PKW5492	2781.52	2106.40	0.00	200.07
1004.00	PKW5407	2906.61	2231.95	0.00	332.60
1004.00	PKW4477	2994.34	1987.03	13.89	93.65
1004.00	PKW4077	1057.28	2152.45	13.89	345.61
1004.00	PKW5384	1453.72	672.05	2.60	129.52
1004.00	PKW4731	3009.90	732.78	13.89	104.88
1004.00	PKW5362	865.09	1066.30	13.89	87.77
1004.00	LKW251	2321.24	2679.55	1.77	269.97
1004.00	PKW5315	2731.03	806.66	13.89	103.81
1004.00	PKW4032	1968.14	2641.85	0.00	25.11
1004.00	PKW4679	1999.56	1016.29	0.00	93.42
1004.00	PKW4805	2814.92	2123.94	0.00	19.92
1004.00	PKW5237	1936.42	2693.16	0.30	124.52
1004.00	PKW5402	1141.60	1687.53	13.89	172.45
1004.00	PKW3644	1971.30	2648.58	0.00	25.11
1004.00	PKW4336	2867.73	2270.79	5.40	21.32
1004.00	PKW5433	1770.43	1836.71	13.89	116.06
1004.00	PKW5190	2767.77	2079.88	0.00	203.15
1004.00	PKW5365	1861.57	2313.51	10.40	185.21
1004.00	LKW230	2031.70	2000.88	13.89	46.83
1004.00	PKW4888	2310.71	2679.31	3.02	268.99
1004.00	PKW4617	1854.83	1292.09	13.89	23.04
1004.00	PKW4291	2805.33	2339.94	0.00	146.37
1004.00	PKW5040	2556.64	1216.73	13.37	177.20
1004.00	PKW4368	2816.82	2393.64	13.89	315.00
1004.00	PKW5380	1449.67	667.10	2.60	129.52
1004.00	PKW4966	1901.83	2012.97	13.89	324.84
1004.00	PKW5169	2068.68	467.28	10.40	265.18
1004.00	LKW253	1713.00	1047.85	3.90	106.50
1005.00	PKW4984	2014.54	1015.50	0.00	92.16
1005.00	PKW5468	2519.47	590.58	0.00	291.56
1005.00	PKW5316	1904.22	1382.19	5.20	29.70
1005.00	PKW5082	1153.16	1649.35	13.89	351.38
1005.00	PKW4999	1865.44	2320.69	10.40	185.81
1005.00	PKW5128	1454.17	1092.42	7.83	87.77
1005.00	PKW5447	2794.90	2919.50	13.89	178.68
1005.00	PKW5522	2784.10	2113.44	0.00	199.53
1005.00	PKW4529	1890.48	1355.09	0.00	39.34
1005.00	PKW5192	2201.73	1005.34	13.42	287.81
1005.00	PKW5498	1379.00	1889.47	0.00	4.50
1005.00	PKW4801	1286.19	1095.49	13.89	267.77
1005.00	PKW5427	2386.54	2745.60	13.89	146.79
1005.00	PKW5552	1952.13	483.13	13.89	297.69
1005.00	PKW5253	1728.88	1087.26	13.00	279.76
1005.00	PKW5345	920.49	1071.66	13.89	87.77
1005.00	PKW4871	2342.61	2682.64	6.47	270.62
1005.00	PKW5511	2638.00	2500.27	13.89	128.78
1005.00	PKW5545	2369.28	928.44	2.75	107.94
1005.00	PKW4765	1573.34	757.26	13.89	41.21
1005.00	PKW5561	393.18	1047.95	13.89	87.77
1005.00	LKW242	2613.47	527.62	9.10	111.98
1005.00	LKW243	2055.97	1721.21	0.00	110.92
1005.00	PKW5112	1490.93	1078.76	0.00	338.35
1005.00	PKW3477	1405.20	3132.89	13.89	308.46
1005.00	PKW4486	1354.19	3173.42	13.89	308.46
1005.00	PKW4890	1845.19	1831.01	7.80	274.12
1005.00	PKW4277	1607.10	1375.78	13.89	207.66
1005.00	PKW5156	2125.12	1027.32	13.89	297.71
1005.00	routeFlow_bus34Hc.1	2566.97	1135.53	13.32	169.13
1005.00	PKW5088	2935.85	752.46	13.89	104.88
1005.00	PKW5411	1956.06	1482.10	13.89	214.66
1005.00	PKW4061	1065.57	2120.17	13.89	345.61
1005.00	PKW3998	1558.57	3011.06	13.89	308.46
1005.00	PKW4482	1521.17	1222.13	0.00	209.89
1005.00	PKW5274	1685.16	570.96	13.89	87.25
1005.00	PKW5148	1745.87	555.72	13.89	116.23
1005.00	PKW5046	3095.00	2060.63	13.89	114.83
1005.00	PKW5334	2775.71	2393.24	13.89	132.53
1005.00	PKW4396	1317.78	1334.19	11.76	315.17
1005.00	PKW4802	1999.54	1019.49	0.00	93.42
1005.00	PKW5019	1749.46	1085.81	10.40	271.70
1005.00	PKW3252	3819.95	1934.30	13.89	93.65
1005.00	PKW5210	1267.47	1085.16	13.89	87.77
1005.00	PKW5077	2837.79	2298.63	0.00	146.60
1005.00	PKW4803	3072.25	1982.05	13.89	93.65
1005.00	PKW5097	1936.47	1963.78	11.55	324.84
1005.00	LKW225	2858.07	2253.97	4.70	11.57
1005.00	PKW5524	2786.60	2120.51	0.00	199.52
1005.00	PKW4338	2375.45	923.08	0.00	107.95
1005.00	PKW3341	3114.94	1979.33	13.89	93.65
1005.00	LKW235	1301.79	3215.04	13.89	308.46
1005.00	PKW5492	2781.52	2106.40	0.00	200.07
1005.00	PKW5407	2906.61	2231.95	0.00	332.60
1005.00	PKW4477	3008.20	1986.14	13.89	93.65
1005.00	PKW5384	1457.73	668.74	5.20	129.52
1005.00	PKW4731	3023.33	729.22	13.89	104.88
1005.00	PKW5362	878.97	1066.84	13.89	87.77
1005.00	LKW251	2318.22	2679.47	3.02	269.17
1005.00	PKW5315	2744.51	803.29	13.89	104.49
1005.00	PKW4032	1968.14	2641.85	0.00	25.11
1005.00	PKW4679	1999.56	1016.29	0.00	93.42
1005.00	PKW4805	2814.92	2123.94	0.00	19.92
1005.00	PKW5237	1936.42	2693.16	0.00	124.52
1005.00	PKW5402	1143.41	1673.77	13.89	172.64
1005.00	PKW3644	1971.30	2648.58	0.00	25.11
1005.00	PKW4336	2868.06	2271.63	0.90	21.32
1005.00	PKW5433	1783.01	1830.26	13.89	117.47
1005.00	PKW5190	2767.77	2079.88	0.00	203.15
1005.00	PKW5365	1860.40	2300.66	13.00	185.20
1005.00	LKW230	2041.83	2010.38	13.89	46.83
1005.00	PKW4888	2306.39	2679.29	4.32	269.71
1005.00	PKW4617	1860.27	1304.87	13.89	23.04
1005.00	PKW4291	2805.33	2339.94	0.00	146.37
1005.00	PKW5040	2557.60	1203.42	13.53	176.26
1005.00	PKW4368	2806.34	2402.77	13.89	311.03
1005.00	PKW5380	1453.68	663.79	5.20	129.52
1005.00	PKW4966	1893.83	2024.33	13.89	324.84
1005.00	PKW5169	2055.70	466.18	13.00	265.17
1005.00	LKW253	1717.92	1046.60	5.20	104.88
1006.00	PKW4984	2014.54	1015.50	0.00	92.16
1006.00	PKW5468	2519.47	590.58	0.00	291.56
1006.00	PKW5316	1908.08	1388.96	7.80	29.70
